ctime,country,city,postcode,dnsnames,ipadd,port
10:09:2025 08:33:33,SG,Singapore,18989,rvr_d  c2-52-220-19-97.p-outht-1.coput.zow.co,52.220.19.97,8648
10:09:2025 08:40:13,CN,Shenzhen,518000, dvlop.p2.co.c,183.6.121.6,12050
10:09:2025 08:44:19,CN,Shenzhen,518000, dvlop.p2.co.c,183.6.121.6,12050
10:09:2025 09:08:14,US,Portland,97204,rvr_d  105789.ip-147-135-46.u,147.135.46.43,8000
10:09:2025 09:33:16,US,Richardson,75080,rvr_d  li1121-163.br.liod.co,45.79.22.163,80
10:09:2025 09:33:34,JP,Urayasu,279-0000, gt.xt-fr-5hdz.tch,163.43.193.189,443
10:09:2025 09:33:37,US,Dallas,75201, ,209.112.76.144,3000
10:09:2025 09:35:25,US,Miami,33101,rvr_d  172-233-190-76.ip.liodurcott.co,172.233.190.76,5000
10:09:2025 09:35:42,US,Los Angeles,90009, olivi.zrotir.globl.trlightcrftd.t,45.8.22.153,3000
10:09:2025 09:47:40,GB,London,E1W, ,138.68.173.124,80
10:09:2025 10:00:29,SG,Singapore,18989,rvr_d  c-119-13-111-167.coput.hwcloud-d.co,119.13.111.167,5001
10:09:2025 10:27:21,IN,Noida,201005,rvr_d  49-50-66-169.oid.dtctr.trpr.co,49.50.66.169,80
10:09:2025 10:27:49,IN,Noida,201005,rvr_d  49-50-66-168.oid.dtctr.trpr.co,49.50.66.168,80
10:09:2025 11:01:19,RU,Saint Petersburg,195213,DNS not found,87.236.16.35,443
10:09:2025 12:22:19,SG,Singapore,18989,rvr_d  c2-52-220-19-97.p-outht-1.coput.zow.co,52.220.19.97,8648
10:09:2025 13:09:39,US,Dallas,75201, ,170.39.176.132,3000
10:09:2025 13:35:54,BD,Mirz\u0101pur,1940,DNS not found,160.25.7.170,443
